step 22500 avg_div_loss 0.5096  acc_tar 79.9730 
step 23000 avg_div_loss 0.5088  acc_tar 79.9955 
step 23500 avg_div_loss 0.5084  acc_tar 80.0180 
step 24000 avg_div_loss 0.5078  acc_tar 79.9730 
step 24500 avg_div_loss 0.5078  acc_tar 79.9730 
step 25000 avg_div_loss 0.5071  acc_tar 80.0405 
step 25500 avg_div_loss 0.5069  acc_tar 79.9730 
step 26000 avg_div_loss 0.5059  acc_tar 80.0631 
step 26500 avg_div_loss 0.5061  acc_tar 79.9955 
step 27000 avg_div_loss 0.5058  acc_tar 80.0631 
step 27500 avg_div_loss 0.5052  acc_tar 80.0631 
step 28000 avg_div_loss 0.5050  acc_tar 80.0405 
Training 28000 step complete in 1.0h 34.0m 36s
Initial model: acc_src:98.7639, acc_tar:67.4476
step 500 avg_div_loss 0.7538  acc_tar 67.4702 
step 1000 avg_div_loss 0.7361  acc_tar 69.1597 
step 1500 avg_div_loss 0.7100  acc_tar 71.9081 
step 2000 avg_div_loss 0.6840  acc_tar 74.2059 
step 2500 avg_div_loss 0.6549  acc_tar 76.3460 
step 3000 avg_div_loss 0.6376  acc_tar 76.1433 
step 3500 avg_div_loss 0.6170  acc_tar 77.4048 
step 4000 avg_div_loss 0.6044  acc_tar 78.0806 
step 4500 avg_div_loss 0.5919  acc_tar 78.2609 
step 5000 avg_div_loss 0.5863  acc_tar 78.7339 
step 5500 avg_div_loss 0.5751  acc_tar 78.7790 
step 6000 avg_div_loss 0.5678  acc_tar 78.8466 
step 6500 avg_div_loss 0.5643  acc_tar 79.2746 
step 7000 avg_div_loss 0.5588  acc_tar 79.4548 
step 7500 avg_div_loss 0.5564  acc_tar 79.6351 
step 8000 avg_div_loss 0.5522  acc_tar 79.8829 
step 8500 avg_div_loss 0.5474  acc_tar 79.7927 
step 9000 avg_div_loss 0.5441  acc_tar 79.9730 
step 9500 avg_div_loss 0.5405  acc_tar 79.7477 
step 10000 avg_div_loss 0.5384  acc_tar 79.9955 
step 10500 avg_div_loss 0.5371  acc_tar 79.7927 
step 11000 avg_div_loss 0.5343  acc_tar 80.0405 
step 11500 avg_div_loss 0.5321  acc_tar 80.0405 
step 12000 avg_div_loss 0.5301  acc_tar 79.9730 
step 12500 avg_div_loss 0.5293  acc_tar 80.1081 
step 13000 avg_div_loss 0.5263  acc_tar 80.2433 
step 13500 avg_div_loss 0.5255  acc_tar 80.2208 
step 14000 avg_div_loss 0.5252  acc_tar 80.0856 
step 14500 avg_div_loss 0.5215  acc_tar 80.0405 
step 15000 avg_div_loss 0.5223  acc_tar 79.9955 
step 15500 avg_div_loss 0.5207  acc_tar 80.0856 
step 16000 avg_div_loss 0.5196  acc_tar 80.1081 
step 16500 avg_div_loss 0.5198  acc_tar 80.1757 
step 17000 avg_div_loss 0.5186  acc_tar 80.0405 
step 17500 avg_div_loss 0.5170  acc_tar 80.0405 
step 18000 avg_div_loss 0.5158  acc_tar 80.1757 
step 18500 avg_div_loss 0.5167  acc_tar 80.0856 
step 19000 avg_div_loss 0.5150  acc_tar 80.3109 
step 19500 avg_div_loss 0.5139  acc_tar 80.2208 
step 20000 avg_div_loss 0.5132  acc_tar 80.1307 
step 20500 avg_div_loss 0.5140  acc_tar 80.0856 
step 21000 avg_div_loss 0.5119  acc_tar 80.1532 
step 21500 avg_div_loss 0.5119  acc_tar 80.2433 
step 22000 avg_div_loss 0.5117  acc_tar 80.1982 
step 22500 avg_div_loss 0.5114  acc_tar 80.2433 
step 23000 avg_div_loss 0.5097  acc_tar 80.1532 
step 23500 avg_div_loss 0.5095  acc_tar 80.1532 
step 24000 avg_div_loss 0.5098  acc_tar 80.2884 
step 24500 avg_div_loss 0.5086  acc_tar 80.1532 
step 25000 avg_div_loss 0.5092  acc_tar 80.2658 
step 25500 avg_div_loss 0.5079  acc_tar 80.1982 
Training 25500 step complete in 1.0h 26.0m 38s
